/Users/jbarrick/src/satellite-plasmid/repeats/gfp-del-3-left.fa /Users/jbarrick/src/satellite-plasmid/repeats/gfp-del-3-right.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[TAGS]
18	25	1273	1280	8	8	100.00	GFP-del-3-left	GFP-del-3-right
20	26	1080	1086	7	7	100.00	GFP-del-3-left	GFP-del-3-right
33	39	1171	1177	7	7	100.00	GFP-del-3-left	GFP-del-3-right
40	46	939	945	7	7	100.00	GFP-del-3-left	GFP-del-3-right
49	56	722	729	8	8	100.00	GFP-del-3-left	GFP-del-3-right
55	61	66	72	7	7	100.00	GFP-del-3-left	GFP-del-3-right
64	70	786	792	7	7	100.00	GFP-del-3-left	GFP-del-3-right
70	77	714	721	8	8	100.00	GFP-del-3-left	GFP-del-3-right
72	78	800	806	7	7	100.00	GFP-del-3-left	GFP-del-3-right
116	123	927	934	8	8	100.00	GFP-del-3-left	GFP-del-3-right
138	144	38	44	7	7	100.00	GFP-del-3-left	GFP-del-3-right
146	152	755	761	7	7	100.00	GFP-del-3-left	GFP-del-3-right
146	152	759	765	7	7	100.00	GFP-del-3-left	GFP-del-3-right
158	164	507	513	7	7	100.00	GFP-del-3-left	GFP-del-3-right
163	169	1347	1353	7	7	100.00	GFP-del-3-left	GFP-del-3-right
182	188	89	95	7	7	100.00	GFP-del-3-left	GFP-del-3-right
211	218	617	624	8	8	100.00	GFP-del-3-left	GFP-del-3-right
230	236	1318	1324	7	7	100.00	GFP-del-3-left	GFP-del-3-right
290	297	728	735	8	8	100.00	GFP-del-3-left	GFP-del-3-right
300	306	193	199	7	7	100.00	GFP-del-3-left	GFP-del-3-right
304	310	212	218	7	7	100.00	GFP-del-3-left	GFP-del-3-right
307	314	827	834	8	8	100.00	GFP-del-3-left	GFP-del-3-right
347	353	737	743	7	7	100.00	GFP-del-3-left	GFP-del-3-right
356	363	1200	1207	8	8	100.00	GFP-del-3-left	GFP-del-3-right
358	364	845	851	7	7	100.00	GFP-del-3-left	GFP-del-3-right
361	367	777	783	7	7	100.00	GFP-del-3-left	GFP-del-3-right
370	376	965	971	7	7	100.00	GFP-del-3-left	GFP-del-3-right
376	382	284	290	7	7	100.00	GFP-del-3-left	GFP-del-3-right
404	410	1357	1363	7	7	100.00	GFP-del-3-left	GFP-del-3-right
416	422	1302	1308	7	7	100.00	GFP-del-3-left	GFP-del-3-right
430	436	726	732	7	7	100.00	GFP-del-3-left	GFP-del-3-right
440	447	1422	1429	8	8	100.00	GFP-del-3-left	GFP-del-3-right
468	474	94	100	7	7	100.00	GFP-del-3-left	GFP-del-3-right
478	484	69	75	7	7	100.00	GFP-del-3-left	GFP-del-3-right
484	491	1171	1178	8	8	100.00	GFP-del-3-left	GFP-del-3-right
491	497	211	217	7	7	100.00	GFP-del-3-left	GFP-del-3-right
495	501	38	44	7	7	100.00	GFP-del-3-left	GFP-del-3-right
501	508	611	618	8	8	100.00	GFP-del-3-left	GFP-del-3-right
534	541	1128	1135	8	8	100.00	GFP-del-3-left	GFP-del-3-right
571	578	1328	1335	8	8	100.00	GFP-del-3-left	GFP-del-3-right
573	579	1117	1123	7	7	100.00	GFP-del-3-left	GFP-del-3-right
578	585	1269	1276	8	8	100.00	GFP-del-3-left	GFP-del-3-right
581	587	1156	1162	7	7	100.00	GFP-del-3-left	GFP-del-3-right
